Player,Teams,Balls,Maidens,Runs,Wickets,Avg,Econ,Strike Rate,5's,10's,Catch Taken,Stummping Made
TJG Pringle,Netherlands,78,0,101,5,20.2,7.76,15.6,0,0,1,0
TM Head,Australia,0,0,0,0,0,-,-,0,0,0,0
Towhid Hridoy,Bangladesh,0,0,0,0,0,-,-,0,0,2,0
TP Ura,Papua New Guinea,0,0,0,0,0,-,-,0,0,1,0
Usman Khan,Pakistan,0,0,0,0,0,-,-,0,0,1,0
V Kohli,India,0,0,0,0,0,-,-,0,0,2,0
Vikramjit Singh,Netherlands,6,0,11,0,0,11,-,0,0,1,0
VJ Kingma,Netherlands,78,1,78,3,26,6,26,0,0,2,0
WG Jacks,England,6,0,22,0,0,22,-,0,0,1,0
ZE Green,Namibia,0,0,0,0,0,-,-,0,0,3,0
Zeeshan Maqsood,Oman,30,0,46,0,0,9.2,-,0,0,1,0
